,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD,,,,,,,,,,,,,,,,,
0,F1,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,0.00E+00,4.12E-269,0.00E+00,4.15E-245,4.18E+00,3.55E+00,5.06E-01,-1.24E+04,0.00E+00,4.44E-16,0.00E+00,8.94E-04,8.40E-02
1,F2,4.12E-269,,5.63E-293,3.395209e-317,4.12E-268,0.00E+00,,,,,,,,,4.18E+00,3.55E+00,5.06E-01,-1.24E+04,,,,8.94E-04,8.40E-02
2,F3,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,0.00E+00,5.63E-293,0.00E+00,1.75E-278,3.33E-03,2.93E-04,4.09E-01,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,5.66E-04,9.76E-02
3,F4,4.15E-245,,1.75E-278,1.02E-296,4.15E-244,0.00E+00,,,,,0.00E+00,3.395209e-317,0.00E+00,1.02E-296,5.48E-10,3.99E-10,1.45E-01,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,1.92E-04,5.57E-02
4,F5,4.18E+00,4.18E+00,3.33E-03,5.48E-10,3.52E+01,1.04E+01,,,,,0.00E+00,4.12E-268,0.00E+00,4.15E-244,3.52E+01,3.52E+01,9.44E-01,-1.19E+04,0.00E+00,4.44E-16,0.00E+00,2.61E-03,9.78E-02
5,F6,3.55E+00,3.55E+00,2.93E-04,3.99E-10,3.52E+01,1.05E+01,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E+01,1.05E+01,3.15E-01,2.57E+02,0.00E+00,0.00E+00,0.00E+00,8.61E-04,1.84E-02
6,F7,5.06E-01,5.06E-01,4.09E-01,1.45E-01,9.44E-01,3.15E-01,,,,,,,,,,,,,,,,,
7,F8,-1.24E+04,-1.24E+04,-1.26E+04,-1.26E+04,-1.19E+04,2.57E+02,,,,,,,,,,,,,,,,,
8,F9,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,
9,F10,4.44E-16,,4.44E-16,4.44E-16,4.44E-16,0.00E+00,,,,,,,,,,,,,,,,,
10,F11,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,
11,F12,8.94E-04,8.94E-04,5.66E-04,1.92E-04,2.61E-03,8.61E-04,,,,,,,,,,,,,,,,,
12,F13,8.40E-02,8.40E-02,9.76E-02,5.57E-02,9.78E-02,1.84E-02,,,,,,,,,,,,,,,,,
