,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD,,,,,,,,,,,,,,,
0,F1,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,7.37E-261,0.00E+00,2.29E-221,8.46E+03,1.04E+03,3.15E+10,-4.16E+04,0.00E+00,4.44E-16,0.00E+00,5.35E-04,9.43E-02
1,F2,7.37E-261,,1.14E-286,0.00E+00,7.37E-260,0.00E+00,,,,,,,8.46E+03,1.04E+03,5.22E-01,-4.16E+04,,,,5.35E-04,9.43E-02
2,F3,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,1.14E-286,0.00E+00,3.05E-245,3.37E-05,7.31E-03,5.77E-01,-4.19E+04,0.00E+00,4.44E-16,0.00E+00,3.64E-04,9.79E-02
3,F4,2.29E-221,,3.05E-245,9.05E-282,2.29E-220,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,9.05E-282,4.13E-10,1.72E-12,2.43E-01,-4.19E+04,0.00E+00,4.44E-16,0.00E+00,2.43E-04,6.11E-02
4,F5,8.46E+03,8.46E+03,3.37E-05,4.13E-10,8.46E+04,2.54E+04,,,0.00E+00,7.37E-260,0.00E+00,2.29E-220,8.46E+04,1.04E+04,3.15E+11,-3.99E+04,0.00E+00,4.44E-16,0.00E+00,1.91E-03,9.83E-02
5,F6,1.04E+03,1.04E+03,7.31E-03,1.72E-12,1.04E+04,3.12E+03,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E+04,3.12E+03,9.46E+10,7.05E+02,0.00E+00,0.00E+00,0.00E+00,4.73E-04,1.10E-02
6,F7,3.15E+10,5.22E-01,5.77E-01,2.43E-01,3.15E+11,9.46E+10,,,,,,,,,,,,,,,
7,F8,-4.16E+04,-4.16E+04,-4.19E+04,-4.19E+04,-3.99E+04,7.05E+02,,,,,,,,,,,,,,,
8,F9,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
9,F10,4.44E-16,,4.44E-16,4.44E-16,4.44E-16,0.00E+00,,,,,,,,,,,,,,,
10,F11,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
11,F12,5.35E-04,5.35E-04,3.64E-04,2.43E-04,1.91E-03,4.73E-04,,,,,,,,,,,,,,,
12,F13,9.43E-02,9.43E-02,9.79E-02,6.11E-02,9.83E-02,1.10E-02,,,,,,,,,,,,,,,
