,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD,,,,,,,,,,,,,,,
0,F1,1.15E+04,2.07E+03,2.07E+03,2.07E+03,9.66E+04,2.84E+04,,,1.15E+04,3.02E+01,3.21E+04,8.31E+00,5.17E+04,2.33E+03,9.57E-01,-7.18E+03,9.21E+01,9.79E+00,1.90E+01,1.29E+01,3.58E+01
1,F2,3.02E+01,3.02E+01,3.02E+01,3.02E+01,3.02E+01,3.55E-15,,,2.07E+03,3.02E+01,,,5.17E+04,,9.57E-01,-7.18E+03,9.21E+01,,1.90E+01,,3.58E+01
2,F3,3.21E+04,,3.21E+04,3.21E+04,3.21E+04,0.00E+00,,,2.07E+03,3.02E+01,3.21E+04,8.31E+00,5.17E+04,2.33E+03,8.83E-01,-7.91E+03,9.21E+01,9.79E+00,1.90E+01,1.29E+01,3.58E+01
3,F4,8.31E+00,,8.31E+00,8.31E+00,8.31E+00,0.00E+00,,,2.07E+03,3.02E+01,3.21E+04,8.31E+00,5.17E+04,2.33E+03,8.83E-01,-7.91E+03,9.21E+01,9.79E+00,1.90E+01,1.29E+01,3.58E+01
4,F5,5.17E+04,5.17E+04,5.17E+04,5.17E+04,5.17E+04,7.28E-12,,,9.66E+04,3.02E+01,3.21E+04,8.31E+00,5.17E+04,2.33E+03,1.62E+00,-5.47E+02,9.21E+01,9.79E+00,1.90E+01,1.29E+01,3.58E+01
5,F6,2.33E+03,,2.33E+03,2.33E+03,2.33E+03,0.00E+00,,,2.84E+04,3.55E-15,0.00E+00,0.00E+00,7.28E-12,0.00E+00,2.22E-01,2.21E+03,1.42E-14,0.00E+00,3.55E-15,0.00E+00,7.11E-15
6,F7,9.57E-01,9.57E-01,8.83E-01,8.83E-01,1.62E+00,2.22E-01,,,,,,,,,,,,,,,
7,F8,-7.18E+03,-7.18E+03,-7.91E+03,-7.91E+03,-5.47E+02,2.21E+03,,,,,,,,,,,,,,,
8,F9,9.21E+01,9.21E+01,9.21E+01,9.21E+01,9.21E+01,1.42E-14,,,,,,,,,,,,,,,
9,F10,9.79E+00,,9.79E+00,9.79E+00,9.79E+00,0.00E+00,,,,,,,,,,,,,,,
10,F11,1.90E+01,1.90E+01,1.90E+01,1.90E+01,1.90E+01,3.55E-15,,,,,,,,,,,,,,,
11,F12,1.29E+01,,1.29E+01,1.29E+01,1.29E+01,0.00E+00,,,,,,,,,,,,,,,
12,F13,3.58E+01,3.58E+01,3.58E+01,3.58E+01,3.58E+01,7.11E-15,,,,,,,,,,,,,,,
