,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD,,,,,,,,,,,,,,,
0,F1,2.65E-42,2.65E-42,2.13E-42,1.43E-42,6.43E-42,1.38E-42,,,2.65E-42,1.66E-21,1.39E-40,6.05E-17,9.43E+01,4.30E-01,5.25E-01,-1.20E+04,0.00E+00,7.55E-15,0.00E+00,3.86E-03,4.76E+00
1,F2,1.66E-21,1.66E-21,1.76E-21,8.87E-22,2.44E-21,5.04E-22,,,2.65E-42,1.66E-21,1.39E-40,6.05E-17,9.43E+01,4.30E-01,5.25E-01,-1.20E+04,,,,3.86E-03,4.76E+00
2,F3,1.39E-40,1.39E-40,1.51E-40,4.47E-41,2.48E-40,6.90E-41,,,2.13E-42,1.76E-21,1.51E-40,6.02E-17,9.45E+01,4.31E-01,5.34E-01,-9.58E+03,0.00E+00,7.55E-15,0.00E+00,3.78E-03,4.86E+00
3,F4,6.05E-17,6.05E-17,6.02E-17,4.20E-17,8.09E-17,1.05E-17,,,1.43E-42,8.87E-22,4.47E-41,4.20E-17,9.25E+01,1.98E-01,1.42E-01,-2.58E+04,0.00E+00,7.55E-15,0.00E+00,1.01E-03,3.53E+00
4,F5,9.43E+01,9.43E+01,9.45E+01,9.25E+01,9.62E+01,8.71E-01,,,6.43E-42,2.44E-21,2.48E-40,8.09E-17,9.62E+01,6.62E-01,8.58E-01,-7.76E+03,0.00E+00,7.55E-15,0.00E+00,1.10E-02,5.50E+00
5,F6,4.30E-01,4.30E-01,4.31E-01,1.98E-01,6.62E-01,1.46E-01,,,1.38E-42,5.04E-22,6.90E-41,1.05E-17,8.71E-01,1.46E-01,2.43E-01,5.29E+03,0.00E+00,0.00E+00,0.00E+00,2.68E-03,6.38E-01
6,F7,5.25E-01,5.25E-01,5.34E-01,1.42E-01,8.58E-01,2.43E-01,,,,,,,,,,,,,,,
7,F8,-1.20E+04,-1.20E+04,-9.58E+03,-2.58E+04,-7.76E+03,5.29E+03,,,,,,,,,,,,,,,
8,F9,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
9,F10,7.55E-15,,7.55E-15,7.55E-15,7.55E-15,0.00E+00,,,,,,,,,,,,,,,
10,F11,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
11,F12,3.86E-03,3.86E-03,3.78E-03,1.01E-03,1.10E-02,2.68E-03,,,,,,,,,,,,,,,
12,F13,4.76E+00,4.76E+00,4.86E+00,3.53E+00,5.50E+00,6.38E-01,,,,,,,,,,,,,,,
